Country,Province,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
China,Guangdong,8.789850012,8.646560974,8.094039521,7.548694506,6.899832046,6.399417709,5.93376273,5.545998225,5.163273254,4.934250651,4.40040226,3.895824284,3.710118265,3.285983437,2.749544588,2.388840548,2.047887169,1.782862881,1.538328432,1.388594985
China,Guangxi,4.419848394,4.262765957,3.967616737,3.625575708,3.318221124,3.075826232,2.848595388,2.631240752,2.408095441,2.212653061,1.855184382,1.464765239,1.340406977,1.148238255,0.936172918,0.803025751,0.676027818,0.576116945,0.523372045,0.476044277
China,Hainan,5.488492063,5.35758794,5.000712831,4.627057613,4.273981191,3.951534392,3.68482906,3.386847826,3.065274725,2.768314607,2.325086306,1.875347222,1.726814988,1.46035503,1.229066986,1.068719807,0.981295844,0.880394575,0.800373599,0.727638191
China,Chongqing,7.801185647,7.404579674,6.825418906,6.382410941,5.795176849,5.224918567,4.805718041,4.326668881,3.897613445,3.451494565,2.79559792,2.326407835,2.07802043,1.694140625,1.388995726,1.232451751,1.095417114,0.933143061,0.810163468,0.712124426
China,Sichuan,5.808390104,5.551886002,5.155882706,4.572940041,4.016301054,3.70204978,3.54973584,3.270193612,2.95886209,2.610478671,2.141056557,1.733732437,1.567485869,1.29963086,1.039870241,0.876266439,0.779233622,0.653889432,0.582614057,0.52726268
China,Guizhou,4.623080913,4.357926195,4.017059131,3.577544044,3.137945716,2.842772384,2.49472396,2.195236784,1.879620853,1.59082153,1.298936476,1.090387334,0.974555061,0.784003304,0.613577236,0.520080429,0.422489754,0.369250646,0.324055251,0.298315346
China,Yunnan,5.194217327,4.926559185,4.439846906,3.939058172,3.499893094,3.208235042,3.017773479,2.763520793,2.396329087,2.061277056,1.68085615,1.438284839,1.324367158,1.124811697,0.912491635,0.786,0.710396376,0.60178245,0.544357258,0.503615582
China,Tibet,5.212876712,4.703047091,4.374011299,3.865329513,3.45,3.160606061,2.891384615,2.612618297,2.254603175,1.978964401,1.709666667,1.505743243,1.36369863,1.190657439,1.003157895,0.868214286,0.789492754,0.683823529,0.604477612,0.527272727
China,Shaanxi,6.62329876,6.539858012,6.090536759,5.500384221,4.916313887,4.653874155,4.547295532,4.181230284,3.734459995,3.2337583,2.635930388,2.145908237,1.930554061,1.532308522,1.242389835,1.034471545,0.853463733,0.704711329,0.615346805,0.550396934
China,Gansu,3.603796962,3.474810682,3.222306163,2.909080095,2.741230159,2.598731669,2.575424733,2.370713441,2.114941176,1.8875,1.540507813,1.279178082,1.204116033,1.049882261,0.864939144,0.732652259,0.650767414,0.551793457,0.486764125,0.446056282
China,Qinghai,5.077533784,4.984915254,4.681431005,4.20665529,3.880068729,3.485268631,3.2078125,3.000525394,2.676882662,2.412676056,2.032326821,1.687073609,1.618953069,1.304528986,1.067883212,0.919705341,0.823191095,0.720973783,0.644045369,0.573804971
China,Ningxia,5.445138889,5.228033473,4.943943662,4.539432624,4.002014388,3.771052632,3.648820059,3.495045045,3.233687405,2.98117284,2.482938389,2.02672,1.843365696,1.438688525,1.131291391,0.972986577,0.884183673,0.763103448,0.659440559,0.59928952
China,Xinjiang,5.337562863,,,,,,,,,,,,,,,,,,,
